                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.5919,                 2.0936,                0.85499,                0.41178,                0.64902,                0.55581,                0.50999,                0.39661,                 1.4842,                0.81374,             0.00030167,             0.00030167,             0.00030167
                      2,                0.42863,                 1.2196,                0.81782,                0.57435,                0.75464,                0.71374,                0.65824,                0.39176,                 1.2515,                0.80552,             0.00040513,             0.00040513,             0.00040513
                      3,                0.36034,                0.99262,                0.81599,                 0.7665,                0.74639,                0.84053,                0.79726,                0.31032,                0.83906,                0.80305,             0.00030861,             0.00030861,             0.00030861
